"","NUTS_ID","nuts3_cases"
"1","HR043",11.7830933833864
"2","AT314",91.7337398882395
"3","AT315",140.29719327046
"4","DE600",714.146225773357
"5","DE711",64.321643778957
"6","DE712",297.182528368334
"7","DE713",46.1426391240963
"8","DE714",114.166139751539
"9","DE715",108.286109219009
"10","BE353",26.3056175941491
"11","BG311",2.54836537084093
"12","BG312",3.80347035369897
"13","DE737",39.1405388534323
"14","DE803",77.5431357729259
"15","DE804",35.3801433261043
"16","DE80L",81.0103478086573
"17","DE923",57.9258531790077
"18","DE94E",144.957162476743
"19","DE94F",57.268385893412
"20","DE94G",36.1682528124228
"21","DEA59",54.9470083850842
"22","DEA5A",108.739465745662
"23","DEA5B",119.789115850651
"24","DEA5C",152.816548328278
"25","DEB11",45.3352480883383
"26","BG313",4.58985713083906
"27","AT321",12.3584857990518
"28","AT322",99.1698023162696
"29","AT323",218.200714051808
"30","DE925",109.818647028808
"31","DE926",28.0425269911234
"32","DE927",49.234749041689
"33","BG314",7.4069299597033
"34","BG331",15.1969516491054
"35","DE928",62.4373936664514
"36","DE929",457.333828099903
"37","DE931",71.5010507576619
"38","BG332",5.29430884751382
"39","BG333",4.95397395782686
"40","AT331",19.343396388968
"41","DE932",79.8879392783721
"42","DE80J",94.3855330266298
"43","AT332",183.381872760558
"44","AT333",29.4509405050374
"45","AT334",64.2404776395098
"46","DE933",103.11478581806
"47","DE934",19.5083806526666
"48","DE935",75.1915630029375
"49","BG334",3.46060458843775
"50","DE936",47.4254904074623
"51","DE937",67.8142487798322
"52","DE938",54.8495382120135
"53","DE939",83.1157009155884
"54","DE93A",37.6047414026412
"55","DE93B",55.2234825161975
"56","DE941",29.5145756002756
"57","DE942",19.978229449687
"58","DE943",65.7510243124816
"59","DE80K",86.2980117765927
"60","DE944",61.2224718540892
"61","DE945",28.5910446414267
"62","DE946",51.9869122830414
"63","AT223",94.4753430756077
"64","DE947",76.6771501411741
"65","DE948",70.2520326400303
"66","DE949",135.68566462368
"67","AT226",59.5764447625583
"68","AT311",165.312763473597
"69","AT312",346.586108010729
"70","AT335",155.014491133158
"71","AT341",53.7933368019349
"72","AT342",181.331849551304
"73","BE100",466.46493870434
"74","DE94A",39.1845522299334
"75","DE94B",57.8071772486466
"76","DE94C",70.4938644513386
"77","DE94D",54.2281013072708
"78","AT313",123.59449065798
"79","DE406",71.0218670856314
"80","DE407",39.4707493668713
"81","BG412",7.97142529375824
"82","BE334",30.2642850995405
"83","BE335",79.7107059487231
"84","BE336",31.0160153860372
"85","AL022",43.7057868039596
"86","AL031",8.41991364046893
"87","AL032",4.76049652538698
"88","AL033",11.4287921625875
"89","AL034",7.27346568197874
"90","AT224",159.536111724409
"91","AT225",115.653209729562
"92","BE211",392.258106846054
"93","BG315",3.73415437607794
"94","BG321",7.2404998386306
"95","AL035",2.38545918042279
"96","AT111",22.5949604574875
"97","AT112",96.0696281889154
"98","AT113",58.8809581895974
"99","BE212",129.453937462607
"100","BE213",173.874294961465
"101","BE221",161.993594544548
"102","BE222",90.7295185057507
"103","BG341",12.7581264925945
"104","AT121",147.607756339037
"105","AT122",155.516103545995
"106","AT123",92.4163328200354
"107","AT124",130.457692271485
"108","BE223",74.7997569892928
"109","BE341",23.477894175248
"110","AT125",74.8224053901512
"111","AT211",171.22657802166
"112","BE231",106.084387005015
"113","BE232",75.4914962628111
"114","BE233",31.312906602619
"115","BE234",208.244930808676
"116","BE235",46.0916622990707
"117","BE236",93.985017001156
"118","BG342",5.72197548134383
"119","BG343",3.54802987674334
"120","DE911",101.566387272778
"121","AT212",74.7518049573195
"122","AT126",209.210812914328
"123","BE241",231.985042931244
"124","BE242",185.476734661011
"125","BE342",18.0652191977647
"126","BE343",21.64251814036
"127","BE344",23.9444190215366
"128","BE345",20.8923600539588
"129","AT127",216.107305101707
"130","AT130",1111.29521272481
"131","AL011",3.13756160354202
"132","AL012",8.48766571059385
"133","BE251",102.678308276486
"134","AT213",89.2889721732548
"135","AT221",271.542355520011
"136","AT222",47.1349027380307
"137","BE252",19.3506445298753
"138","BE351",41.5439476603462
"139","BE352",120.747821177165
"140","BG322",3.23415465686214
"141","AL013",5.37253712420302
"142","AL014",4.58096158252779
"143","AL015",12.1988565354246
"144","AL021",10.9844626505647
"145","BE253",39.6005127162369
"146","BE254",103.906229634928
"147","BE255",56.3772484872862
"148","BE256",55.7721657760342
"149","BE257",34.8725747523769
"150","BE258",21.1462336895179
"151","BG323",6.36487711361666
"152","BE310",153.182173936511
"153","BE321",33.7838297822667
"154","BE322",160.256171034735
"155","BE323",94.3066088765126
"156","BE324",28.8555506611244
"157","BG324",3.16080467978862
"158","BG325",3.43437396608011
"159","DE913",50.1826532999829
"160","BG344",9.58692804439274
"161","BG411",43.6333887993841
"162","DE912",37.1153709413555
"163","BE325",71.479069007766
"164","BE326",55.4869891043547
"165","BE327",56.3682496914968
"166","BE331",43.6050084879088
"167","BE332",232.862897324583
"168","BG422",7.11594887144315
"169","CH051",44.2692380756796
"170","ES432",321.757349827453
"171","DE246",42.9375930072534
"172","DE247",34.7448455463465
"173","DE248",47.5479950180601
"174","DE265",41.3518714081525
"175","DE266",31.4501148974298
"176","DE267",33.9322311908154
"177","CH052",95.8027463133423
"178","CH053",58.9744381142335
"179","CH054",19.3509196224245
"180","DE111",247.347479105065
"181","CZ010",174.348823200363
"182","ES511",4705.69497396104
"183","DE12C",45.8948504915605
"184","DE131",91.0378521247488
"185","DE132",104.735738511675
"186","DE147",88.3518026916074
"187","DE148",112.767382081419
